
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,England,Male,2020/21,490
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,England,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,England,Total,2020/21,1315
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Female,2019/20,640
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Male,2019/20,420
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Other,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Total,2019/20,1065
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Female,2020/21,740
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Male,2020/21,425
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,England,Total,2020/21,1170
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Female,2019/20,65
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Male,2019/20,50
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Total,2019/20,115
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Female,2020/21,80
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Male,2020/21,65
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,England,Total,2020/21,145
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Total,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Female,2019/20,75
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Male,2019/20,30
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Total,2019/20,110
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Female,2020/21,115
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Male,2020/21,50
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Scotland,Total,2020/21,165
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Female,2019/20,70
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Male,2019/20,30
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Total,2019/20,100
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Female,2020/21,50
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Male,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Scotland,Total,2020/21,75
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Total,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Female,2020/21,70
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Male,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Scotland,Total,2020/21,90
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Female,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Male,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Total,2019/20,30
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Female,2020/21,20
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Male,2020/21,10
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),All,Wales,Total,2020/21,30
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Female,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Male,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Total,2019/20,25
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Female,2020/21,15
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Male,2020/21,10
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Full-time,Wales,Total,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Total,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Female,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",Postgraduate (taught),Part-time,Wales,Total,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Female,2019/20,905
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Male,2019/20,585
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Other,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Total,2019/20,1500
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Female,2020/21,1035
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Male,2020/21,620
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,All,Total,2020/21,1665
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Female,2019/20,820
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Male,2019/20,520
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Other,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Total,2019/20,1345
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Female,2020/21,870
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Male,2020/21,520
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,All,Total,2020/21,1395
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Female,2019/20,90
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Male,2019/20,65
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Total,2019/20,155
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Female,2020/21,170
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Male,2020/21,100
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,All,Total,2020/21,270
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Female,2019/20,805
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Male,2019/20,530
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Other,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Total,2019/20,1345
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Female,2020/21,885
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Male,2020/21,550
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,England,Total,2020/21,1445
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Female,2019/20,725
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Male,2019/20,470
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Other,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Total,2019/20,1200
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Female,2020/21,790
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Male,2020/21,475
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Other,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,England,Total,2020/21,1275
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Female,2019/20,80
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Male,2019/20,65
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Total,2019/20,145
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Female,2020/21,95
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Male,2020/21,75
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,England,Total,2020/21,170
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Total,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Total,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Total,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Female,2019/20,80
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Male,2019/20,35
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Total,2019/20,115
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Female,2020/21,125
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Male,2020/21,55
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Scotland,Total,2020/21,180
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Female,2019/20,75
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Male,2019/20,35
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Total,2019/20,110
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Female,2020/21,55
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Male,2020/21,30
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Scotland,Total,2020/21,90
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Total,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Female,2020/21,70
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Male,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Scotland,Total,2020/21,90
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Female,2019/20,20
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Male,2019/20,20
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Total,2019/20,40
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Female,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Male,2020/21,15
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,All,Wales,Total,2020/21,40
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Female,2019/20,20
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Male,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Total,2019/20,35
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Female,2020/21,20
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Male,2020/21,10
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Full-time,Wales,Total,2020/21,30
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Total,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Female,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",All postgraduate,Part-time,Wales,Total,2020/21,5
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Female,2019/20,1655
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Male,2019/20,1185
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Total,2019/20,2840
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Female,2020/21,1695
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Male,2020/21,1100
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,All,Total,2020/21,2795
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Female,2019/20,1650
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Male,2019/20,1175
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Total,2019/20,2825
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Female,2020/21,1675
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Male,2020/21,1075
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,All,Total,2020/21,2750
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Male,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Total,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Female,2020/21,20
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Male,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,All,Total,2020/21,45
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Female,2019/20,1370
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Male,2019/20,990
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Total,2019/20,2360
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Female,2020/21,1410
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Male,2020/21,950
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,England,Total,2020/21,2360
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Female,2019/20,1365
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Male,2019/20,985
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Total,2019/20,2345
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Female,2020/21,1395
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Male,2020/21,930
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,England,Total,2020/21,2325
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Male,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Total,2019/20,15
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Female,2020/21,15
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Male,2020/21,20
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,England,Total,2020/21,35
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Male,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Total,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Female,2020/21,10
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Male,2020/21,15
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Northern Ireland,Total,2020/21,30
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Female,2019/20,5
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Male,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Total,2019/20,10
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Female,2020/21,10
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Male,2020/21,15
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Northern Ireland,Total,2020/21,25
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Total,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Female,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Male,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Northern Ireland,Total,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Female,2019/20,145
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Male,2019/20,60
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Total,2019/20,205
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Female,2020/21,150
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Male,2020/21,55
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,All,Scotland,Total,2020/21,210
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Female,2019/20,145
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Male,2019/20,60
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Other,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Total,2019/20,205
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Female,2020/21,150
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Male,2020/21,55
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Other,2020/21,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Full-time,Scotland,Total,2020/21,205
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Scotland,Female,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Scotland,Male,2019/20,0
"26 Geography, earth and environmental studies (social sciences)",First degree,Part-time,Scotland,Other,2019/20,0
